timestamp,OSCaddress,typetag,timetag,,,
0,/motion/s1/quat,ffff,0.6264038,-0.21887207,-0.63604736,0.39385986
0,/motion/s1/aaWorld,iii,160,572,6570,
0,/motion/s1/aaReal,iii,4526,-4789,339,
0,/motion/s1/aa,iii,9642,-11140,1118,
0,/motion/s1/ypr,fff,240.94955,38.642178,276.98978,
11,/motion/s1/quat,ffff,0.62677,-0.21905518,-0.6359863,0.3932495
11,/motion/s1/aaWorld,iii,255,541,7078,
11,/motion/s1/aaReal,iii,4812,-5218,303,
11,/motion/s1/aa,iii,9932,-11566,1082,
11,/motion/s1/ypr,fff,241.09256,38.68065,276.9919,
19,/motion/s1/quat,ffff,0.62713623,-0.21936035,-0.6359253,0.39263916
19,/motion/s1/aaWorld,iii,15,205,7323,
19,/motion/s1/aaReal,iii,4737,-5553,634,
19,/motion/s1/aa,iii,9860,-11898,1412,
19,/motion/s1/ypr,fff,241.24142,38.70963,276.98883,
30,/motion/s1/quat,ffff,0.6274414,-0.21966553,-0.6358032,0.3922119
30,/motion/s1/aaWorld,iii,-20,-9,7209,
30,/motion/s1/aaReal,iii,4505,-5584,707,
30,/motion/s1/aa,iii,9630,-11928,1486,
30,/motion/s1/ypr,fff,241.38382,38.721863,276.99493,
43,/motion/s1/quat,ffff,0.62786865,-0.21990967,-0.6355591,0.39172363
43,/motion/s1/aaWorld,iii,-161,26,6823,
43,/motion/s1/aaReal,iii,4309,-5232,802,
43,/motion/s1/aa,iii,9436,-11574,1584,
43,/motion/s1/ypr,fff,241.59732,38.743233,277.0238,
50,/motion/s1/quat,ffff,0.6282959,-0.22009277,-0.635376,0.39123535
50,/motion/s1/aaWorld,iii,-75,174,6784,
51,/motion/s1/aaReal,iii,4392,-5129,684,
51,/motion/s1/aa,iii,9522,-11468,1468,
51,/motion/s1/ypr,fff,241.80719,38.771378,277.04926,
59,/motion/s1/quat,ffff,0.6286621,-0.22021484,-0.63531494,0.39074707
59,/motion/s1/aaWorld,iii,-191,206,7003,
59,/motion/s1/aaReal,iii,4570,-5252,811,
59,/motion/s1/aa,iii,9704,-11588,1596,
59,/motion/s1/ypr,fff,241.97243,38.806217,277.05994,
70,/motion/s1/quat,ffff,0.62908936,-0.22027588,-0.6351929,0.39019775
70,/motion/s1/aaWorld,iii,-308,355,7069,
70,/motion/s1/aaReal,iii,4743,-5186,901,
70,/motion/s1/aa,iii,9882,-11518,1688,
70,/motion/s1/ypr,fff,242.16855,38.85005,277.08197,
81,/motion/s1/quat,ffff,0.62957764,-0.22033691,-0.6350708,0.38952637
81,/motion/s1/aaWorld,iii,-154,343,7099,
81,/motion/s1/aaReal,iii,4741,-5244,759,
81,/motion/s1/aa,iii,9886,-11570,1548,
81,/motion/s1/ypr,fff,242.38712,38.904377,277.10394,
91,/motion/s1/quat,ffff,0.63012695,-0.22052002,-0.63494873,0.38879395
91,/motion/s1/aaWorld,iii,-109,252,7174,
91,/motion/s1/aaReal,iii,4717,-5362,744,
91,/motion/s1/aa,iii,9868,-11684,1534,
91,/motion/s1/ypr,fff,242.64334,38.955513,277.12332,
102,/motion/s1/quat,ffff,0.63067627,-0.22070312,-0.6347046,0.38806152
102,/motion/s1/aaWorld,iii,-141,181,6967,
102,/motion/s1/aaReal,iii,4540,-5234,773,
102,/motion/s1/aa,iii,9696,-11550,1566,
102,/motion/s1/ypr,fff,242.90851,39.00246,277.15503,
