timestamp,OSCaddress,typetag,timetag,,,
0,/motion/s1/quat,ffff,-0.6791992,0.31860352,0.6003418,-0.2770996
0,/motion/s1/aaWorld,iii,-32,261,6627,
0,/motion/s1/aaReal,iii,4429,-4905,563,
0,/motion/s1/aa,iii,9664,-11176,1188,
0,/motion/s1/ypr,fff,2.7934206,39.711662,275.68298,
12,/motion/s1/quat,ffff,-0.6793823,0.31848145,0.60028076,-0.2769165
12,/motion/s1/aaWorld,iii,76,163,6653,
12,/motion/s1/aaReal,iii,4387,-4985,449,
12,/motion/s1/aa,iii,9624,-11254,1076,
12,/motion/s1/ypr,fff,2.768554,39.735764,275.70734,
20,/motion/s1/quat,ffff,-0.6795044,0.31835938,0.60028076,-0.27679443
20,/motion/s1/aaWorld,iii,-168,149,6986,
20,/motion/s1/aaReal,iii,4560,-5249,718,
20,/motion/s1/aa,iii,9800,-11516,1346,
20,/motion/s1/ypr,fff,2.7428174,39.75654,275.72214,
32,/motion/s1/quat,ffff,-0.6796875,0.3182373,0.6002197,-0.27667236
32,/motion/s1/aaWorld,iii,-122,267,6991,
32,/motion/s1/aaReal,iii,4660,-5175,687,
32,/motion/s1/aa,iii,9902,-11440,1318,
32,/motion/s1/ypr,fff,2.6808052,39.77612,275.74847,
44,/motion/s1/quat,ffff,-0.6798706,0.3180542,0.6001587,-0.27648926
44,/motion/s1/aaWorld,iii,-157,173,7035,
44,/motion/s1/aaReal,iii,4615,-5266,718,
44,/motion/s1/aa,iii,9860,-11528,1352,
44,/motion/s1/ypr,fff,2.6251557,39.804573,275.77643,
52,/motion/s1/quat,ffff,-0.6800537,0.3178711,0.60009766,-0.27624512
52,/motion/s1/aaWorld,iii,-276,126,6948,
52,/motion/s1/aaReal,iii,4512,-5228,826,
52,/motion/s1/aa,iii,9760,-11486,1462,
52,/motion/s1/ypr,fff,2.6071825,39.83752,275.8024,
65,/motion/s1/quat,ffff,-0.68029785,0.31781006,0.6000366,-0.276062
65,/motion/s1/aaWorld,iii,-213,24,6984,
65,/motion/s1/aaReal,iii,4467,-5319,759,
65,/motion/s1/aa,iii,9718,-11576,1398,
65,/motion/s1/ypr,fff,2.5961893,39.858707,275.82925,
74,/motion/s1/quat,ffff,-0.68048096,0.31774902,0.59991455,-0.2758789
74,/motion/s1/aaWorld,iii,57,141,7011,
74,/motion/s1/aaReal,iii,4609,-5261,506,
74,/motion/s1/aa,iii,9862,-11516,1148,
74,/motion/s1/ypr,fff,2.5864704,39.875687,275.85593,
80,/motion/s1/quat,ffff,-0.680603,0.31762695,0.5998535,-0.2756958
81,/motion/s1/aaWorld,iii,140,226,7210,
81,/motion/s1/aaReal,iii,4815,-5356,450,
81,/motion/s1/aa,iii,10070,-11608,1094,
81,/motion/s1/ypr,fff,2.5813997,39.898235,275.87457,
93,/motion/s1/quat,ffff,-0.68078613,0.31750488,0.5998535,-0.27545166
93,/motion/s1/aaWorld,iii,179,166,7243,
93,/motion/s1/aaReal,iii,4798,-5417,409,
93,/motion/s1/aa,iii,10056,-11666,1054,
93,/motion/s1/ypr,fff,2.6123295,39.92947,275.89148,
101,/motion/s1/quat,ffff,-0.6809082,0.3173828,0.5998535,-0.2753296
101,/motion/s1/aaWorld,iii,2,197,7240,
101,/motion/s1/aaReal,iii,4799,-5393,589,
101,/motion/s1/aa,iii,10060,-11640,1236,
101,/motion/s1/ypr,fff,2.5876467,39.950203,275.90643,
115,/motion/s1/quat,ffff,-0.6810913,0.31726074,0.5997925,-0.27520752
115,/motion/s1/aaWorld,iii,-192,373,7172,
115,/motion/s1/aaReal,iii,4865,-5227,797,
115,/motion/s1/aa,iii,10128,-11472,1446,
115,/motion/s1/ypr,fff,2.5277166,39.969715,275.93295,
121,/motion/s1/quat,ffff,-0.6812744,0.31707764,0.5996704,-0.27514648
121,/motion/s1/aaWorld,iii,75,219,7122,
121,/motion/s1/aaReal,iii,4753,-5285,515,
121,/motion/s1/aa,iii,10018,-11528,1168,
121,/motion/s1/ypr,fff,2.3833873,39.986366,275.97064,
134,/motion/s1/quat,ffff,-0.6813965,0.3170166,0.5996094,-0.27508545
134,/motion/s1/aaWorld,iii,150,180,7079,
134,/motion/s1/aaReal,iii,4706,-5276,435,
134,/motion/s1/aa,iii,9972,-11518,1090,
134,/motion/s1/ypr,fff,2.3363724,39.995502,275.98972,
141,/motion/s1/quat,ffff,-0.6814575,0.3170166,0.59954834,-0.2750244
141,/motion/s1/aaWorld,iii,55,-80,7264,
141,/motion/s1/aaReal,iii,4616,-5586,518,
141,/motion/s1/aa,iii,9882,-11828,1174,
141,/motion/s1/ypr,fff,2.3382008,39.998783,275.9994,
154,/motion/s1/quat,ffff,-0.68151855,0.31707764,0.59942627,-0.27508545
154,/motion/s1/aaWorld,iii,-27,-76,7206,
154,/motion/s1/aaReal,iii,4569,-5541,598,
154,/motion/s1/aa,iii,9834,-11784,1256,
154,/motion/s1/ypr,fff,2.2805846,39.985966,276.01508,
162,/motion/s1/quat,ffff,-0.6815796,0.31713867,0.5993042,-0.27508545
162,/motion/s1/aaWorld,iii,14,-36,7009,
162,/motion/s1/aaReal,iii,4478,-5365,546,
162,/motion/s1/aa,iii,9742,-11608,1206,
162,/motion/s1/ypr,fff,2.2596977,39.977657,276.02884,
180,/motion/s1/quat,ffff,-0.6816406,0.31713867,0.59924316,-0.27520752
180,/motion/s1/aaWorld,iii,74,18,6867,
180,/motion/s1/aaReal,iii,4435,-5222,482,
180,/motion/s1/aa,iii,9698,-11466,1144,
180,/motion/s1/ypr,fff,2.1521018,39.96741,276.04425,
181,/motion/s1/quat,ffff,-0.6816406,0.3171997,0.5991821,-0.27526855
181,/motion/s1/aaWorld,iii,188,157,6868,
181,/motion/s1/aaReal,iii,4554,-5133,384,
181,/motion/s1/aa,iii,9816,-11378,1046,
181,/motion/s1/ypr,fff,2.1294372,39.955826,276.04834,
194,/motion/s1/quat,ffff,-0.6815796,0.31713867,0.5991821,-0.27526855
194,/motion/s1/aaWorld,iii,132,305,7010,
194,/motion/s1/aaReal,iii,4751,-5146,466,
194,/motion/s1/aa,iii,10012,-11390,1128,
194,/motion/s1/ypr,fff,2.11606,39.95872,276.04602,
202,/motion/s1/quat,ffff,-0.6815796,0.31713867,0.59924316,-0.27526855
202,/motion/s1/aaWorld,iii,-28,386,6980,
202,/motion/s1/aaReal,iii,4772,-5071,631,
202,/motion/s1/aa,iii,10034,-11316,1292,
202,/motion/s1/ypr,fff,2.1330655,39.96143,276.0403,
217,/motion/s1/quat,ffff,-0.6815796,0.31707764,0.5993042,-0.27520752
217,/motion/s1/aaWorld,iii,-101,321,6972,
217,/motion/s1/aaReal,iii,4709,-5106,695,
217,/motion/s1/aa,iii,9972,-11350,1356,
217,/motion/s1/ypr,fff,2.1557481,39.97302,276.0362,
223,/motion/s1/quat,ffff,-0.6815796,0.3170166,0.59936523,-0.27514648
